"mes","anio","depto","sale_kg","ingresa_kg","total_importado","fecha"
1,2013,"ANTIOQUIA",14192024.68,33054137.68,-18862113,2013-01-01
1,2014,"ANTIOQUIA",15287110.16,33464084.16,-18176974,2014-01-01
1,2015,"ANTIOQUIA",17832588.5,35512010.5,-17679422,2015-01-01
1,2016,"ANTIOQUIA",17306070.22,31190660.72,-13884590.5,2016-01-01
1,2017,"ANTIOQUIA",18302819.4,38632393.4,-20329574,2017-01-01
1,2018,"ANTIOQUIA",16978143.02,31625461.02,-14647318,2018-01-01
1,2019,"ANTIOQUIA",20760637.14,38411348.34,-17650711.2,2019-01-01
1,2021,"ANTIOQUIA",24001489.28,36621468.68,-12619979.4,2021-01-01
1,2022,"ANTIOQUIA",21282709.6,34423088.8,-13140379.2,2022-01-01
1,2023,"ANTIOQUIA",21898602.42,33621405.42,-11722803,2023-01-01
2,2013,"ANTIOQUIA",12056812.94,28107628.94,-16050816,2013-02-01
2,2014,"ANTIOQUIA",15007307.64,32396930.44,-17389622.8,2014-02-01
2,2015,"ANTIOQUIA",16927056,35113673,-18186617,2015-02-01
2,2016,"ANTIOQUIA",15526656.12,30288992.92,-14762336.8,2016-02-01
2,2017,"ANTIOQUIA",18043648.36,39078214.36,-21034566,2017-02-01
2,2018,"ANTIOQUIA",18079429.06,32591385.06,-14511956,2018-02-01
2,2019,"ANTIOQUIA",21386406.74,36825126.54,-15438719.8,2019-02-01
2,2021,"ANTIOQUIA",21569222.76,32528592.26,-10959369.5,2021-02-01
2,2022,"ANTIOQUIA",21624240.26,34811179.36,-13186939.1,2022-02-01
2,2023,"ANTIOQUIA",22761663.42,36278297.86,-13516634.44,2023-02-01
3,2013,"ANTIOQUIA",12022309.02,27262312.02,-15240003,2013-03-01
3,2014,"ANTIOQUIA",17329557.14,36950233.22,-19620676.08,2014-03-01
3,2015,"ANTIOQUIA",18522431.32,33530544.32,-15008113,2015-03-01
3,2016,"ANTIOQUIA",17412790.7,28951280.7,-11538490,2016-03-01
3,2017,"ANTIOQUIA",17753251.72,36543029.52,-18789777.8,2017-03-01
3,2018,"ANTIOQUIA",19342719.72,33011729.72,-13669010,2018-03-01
3,2019,"ANTIOQUIA",23163833,37848230.6,-14684397.6,2019-03-01
3,2021,"ANTIOQUIA",24180454.92,36200824.92,-12020370,2021-03-01
3,2022,"ANTIOQUIA",25907733.48,37437151.28,-11529417.8,2022-03-01
3,2023,"ANTIOQUIA",26931870.6,39701130.28,-12769259.68,2023-03-01
4,2013,"ANTIOQUIA",15970525.8,34422607,-18452081.2,2013-04-01
4,2014,"ANTIOQUIA",16957822.64,30899228.64,-13941406,2014-04-01
4,2015,"ANTIOQUIA",18137600.14,32172679.74,-14035079.6,2015-04-01
4,2016,"ANTIOQUIA",18596174.66,33490504.02,-14894329.36,2016-04-01
4,2017,"ANTIOQUIA",17835555.56,33646996.76,-15811441.2,2017-04-01
4,2018,"ANTIOQUIA",20810040.62,34408685.42,-13598644.8,2018-04-01
4,2019,"ANTIOQUIA",21948705.78,37305481.78,-15356776,2019-04-01
4,2021,"ANTIOQUIA",26268103.6,35800654.8,-9532551.2,2021-04-01
4,2022,"ANTIOQUIA",24757058.26,34599400.32,-9842342.06,2022-04-01
4,2023,"ANTIOQUIA",23642249.24,34338673.44,-10696424.2,2023-04-01
5,2013,"ANTIOQUIA",17449309.2,33707490.6,-16258181.4,2013-05-01
5,2014,"ANTIOQUIA",20231139.38,35954714.18,-15723574.8,2014-05-01
5,2015,"ANTIOQUIA",18007084.12,32283710.12,-14276626,2015-05-01
5,2016,"ANTIOQUIA",19096619,34165684.9,-15069065.9,2016-05-01
5,2017,"ANTIOQUIA",21014897.88,38291090.88,-17276193,2017-05-01
5,2018,"ANTIOQUIA",20466898.52,33534654.52,-13067756,2018-05-01
5,2019,"ANTIOQUIA",23236831.02,37812050.62,-14575219.6,2019-05-01
5,2021,"ANTIOQUIA",23843344.06,32237362.26,-8394018.2,2021-05-01
5,2022,"ANTIOQUIA",24052902.6,34691064.58,-10638161.98,2022-05-01
5,2023,"ANTIOQUIA",26071214.72,36345547.72,-10274333,2023-05-01
6,2013,"ANTIOQUIA",16333230.84,31853913.04,-15520682.2,2013-06-01
6,2014,"ANTIOQUIA",17938119.8,30692698.6,-12754578.8,2014-06-01
6,2015,"ANTIOQUIA",16530111.24,29242362.24,-12712251,2015-06-01
6,2016,"ANTIOQUIA",18007079.78,33553323.58,-15546243.8,2016-06-01
6,2017,"ANTIOQUIA",18297539.02,36040986.02,-17743447,2017-06-01
6,2018,"ANTIOQUIA",21657274.32,34374451.52,-12717177.2,2018-06-01
6,2019,"ANTIOQUIA",22009654.88,35109704.98,-13100050.1,2019-06-01
6,2021,"ANTIOQUIA",24315160.36,33036257.16,-8721096.8,2021-06-01
6,2022,"ANTIOQUIA",23052974.42,30547199.12,-7494224.7,2022-06-01
6,2023,"ANTIOQUIA",26551753.54,39465734.04,-12913980.5,2023-06-01
7,2013,"ANTIOQUIA",16398672.28,33457954.28,-17059282,2013-07-01
7,2014,"ANTIOQUIA",21355691.58,37595440.18,-16239748.6,2014-07-01
7,2015,"ANTIOQUIA",18967765.56,33789770.56,-14822005,2015-07-01
7,2016,"ANTIOQUIA",15102156.94,29954557.14,-14852400.2,2016-07-01
7,2017,"ANTIOQUIA",16454989.5,34565658.5,-18110669,2017-07-01
7,2018,"ANTIOQUIA",22553059.98,35253033.08,-12699973.1,2018-07-01
7,2019,"ANTIOQUIA",23164371.9,36710452.6,-13546080.7,2019-07-01
7,2021,"ANTIOQUIA",24153023.02,36135636.02,-11982613,2021-07-01
7,2022,"ANTIOQUIA",25243439.22,35770287.72,-10526848.5,2022-07-01
7,2023,"ANTIOQUIA",26142083.1,40285781.4,-14143698.3,2023-07-01
8,2013,"ANTIOQUIA",15856900.02,29094771.62,-13237871.6,2013-08-01
8,2014,"ANTIOQUIA",18406818.9,34058572.9,-15651754,2014-08-01
8,2015,"ANTIOQUIA",16675532.38,30346945.58,-13671413.2,2015-08-01
8,2016,"ANTIOQUIA",18135580.52,39633542.72,-21497962.2,2016-08-01
8,2017,"ANTIOQUIA",20169561.48,37817164.98,-17647603.5,2017-08-01
8,2018,"ANTIOQUIA",25002697.6,38043180.8,-13040483.2,2018-08-01
8,2019,"ANTIOQUIA",25199776.48,37602495.88,-12402719.4,2019-08-01
8,2021,"ANTIOQUIA",23412719.88,33280918.08,-9868198.2,2021-08-01
8,2022,"ANTIOQUIA",24359391.4,30256748.9,-5897357.5,2022-08-01
8,2023,"ANTIOQUIA",30906911.54,43578343.14,-12671431.6,2023-08-01
9,2013,"ANTIOQUIA",17246045.68,35517672.88,-18271627.2,2013-09-01
9,2014,"ANTIOQUIA",18305534.3,38080715.3,-19775181,2014-09-01
9,2015,"ANTIOQUIA",18441212.86,33742004.26,-15300791.4,2015-09-01
9,2016,"ANTIOQUIA",19940437.96,39262710.56,-19322272.6,2016-09-01
9,2017,"ANTIOQUIA",19129736.98,37435727.98,-18305991,2017-09-01
9,2018,"ANTIOQUIA",23406146.56,38271464.04,-14865317.48,2018-09-01
9,2019,"ANTIOQUIA",24848023.18,39680334.98,-14832311.8,2019-09-01
9,2021,"ANTIOQUIA",26800565.68,41379929.88,-14579364.2,2021-09-01
9,2022,"ANTIOQUIA",24142147.06,30064417.46,-5922270.4,2022-09-01
9,2023,"ANTIOQUIA",29334567.4,41829311.4,-12494744,2023-09-01
10,2013,"ANTIOQUIA",19196693.64,36920009.84,-17723316.2,2013-10-01
10,2014,"ANTIOQUIA",21015216.92,38600305.1,-17585088.18,2014-10-01
10,2015,"ANTIOQUIA",20385974.26,34453708.26,-14067734,2015-10-01
10,2016,"ANTIOQUIA",20248212.38,38015511.38,-17767299,2016-10-01
10,2017,"ANTIOQUIA",19213909.72,39215089.72,-20001180,2017-10-01
10,2018,"ANTIOQUIA",25901054.78,41951774.78,-16050720,2018-10-01
10,2019,"ANTIOQUIA",27519085.8,42924595.7,-15405509.9,2019-10-01
10,2021,"ANTIOQUIA",25219350.24,38888510.24,-13669160,2021-10-01
10,2022,"ANTIOQUIA",22073656.14,28247809.14,-6174153,2022-10-01
10,2023,"ANTIOQUIA",27280157.6,37426894.4,-10146736.8,2023-10-01
11,2013,"ANTIOQUIA",18120431.7,35042920.7,-16922489,2013-11-01
11,2014,"ANTIOQUIA",19214830.82,35601967.82,-16387137,2014-11-01
11,2015,"ANTIOQUIA",18306452.14,31915792.14,-13609340,2015-11-01
11,2016,"ANTIOQUIA",18772659.22,37682915.22,-18910256,2016-11-01
11,2017,"ANTIOQUIA",17966416.3,34426488.7,-16460072.4,2017-11-01
11,2018,"ANTIOQUIA",22476094.42,37189223.3,-14713128.88,2018-11-01
11,2019,"ANTIOQUIA",24128569.96,37847394.76,-13718824.8,2019-11-01
11,2021,"ANTIOQUIA",23421350.96,37334684.96,-13913334,2021-11-01
11,2022,"ANTIOQUIA",23441247.98,32494879.58,-9053631.6,2022-11-01
11,2023,"ANTIOQUIA",27607202.94,39672724.34,-12065521.4,2023-11-01
12,2013,"ANTIOQUIA",15045784.28,31429320.28,-16383536,2013-12-01
12,2014,"ANTIOQUIA",18823543.2,34859229.2,-16035686,2014-12-01
12,2015,"ANTIOQUIA",19250678.8,33322845.4,-14072166.6,2015-12-01
12,2016,"ANTIOQUIA",18078152.96,36908711.56,-18830558.6,2016-12-01
12,2017,"ANTIOQUIA",17254381.6,34834354.6,-17579973,2017-12-01
12,2018,"ANTIOQUIA",21518427.96,36428579.96,-14910152,2018-12-01
12,2019,"ANTIOQUIA",23490407.64,36433027.64,-12942620,2019-12-01
12,2021,"ANTIOQUIA",23924493.94,37816667.44,-13892173.5,2021-12-01
12,2022,"ANTIOQUIA",21871989.24,28976901.24,-7104912,2022-12-01
12,2023,"ANTIOQUIA",27263853.46,42540664.06,-15276810.6,2023-12-01
